Date; Time; Milisec; Msg ID; Byte1; Byte2; Byte3; Byte4; Byte5; Byte6; Byte7; Byte8;; Byte1; Byte2; Byte3; Byte4; Byte5; Byte6; Byte7; Byte8
2025.12.02; 16:46:52; 409; 18E5FF74; 09; FF; FF; FF; FF; FF; FF; FF; ; 009; 255; 255; 255; 255; 255; 255; 255; 
2025.12.02; 16:46:52; 447; 18E2FF70; 00; 04; FF; FF; 80; 1F; 00; 00; ; 000; 004; 255; 255; 128; 031; 000; 000; 
2025.12.02; 16:46:52; 456; 0CE07374; 50; 08; 32; 04; 4B; FF; FF; FC; ; 080; 008; 050; 004; 075; 255; 255; 252; 
2025.12.02; 16:46:52; 490; 18E2FF70; 01; 3D; 56; 01; 17; 01; 87; 01; ; 001; 061; 086; 001; 023; 001; 135; 001; 
2025.12.02; 16:46:52; 505; 18FEF100; FF; FF; FF; FF; FF; FF; FF; FF; ; 255; 255; 255; 255; 255; 255; 255; 255; 
2025.12.02; 16:46:52; 540; 18E2FF70; 02; FF; 43; 01; 3A; 01; 2F; 01; ; 002; 255; 067; 001; 058; 001; 047; 001; 
2025.12.02; 16:46:52; 551; 0CE07074; 14; 3D; 3D; 10; 17; FF; FF; FF; ; 020; 061; 061; 016; 023; 255; 255; 255; 
2025.12.02; 16:46:52; 584; 18E2FF70; 03; 3D; 00; 00; 00; FF; 08; F0; ; 003; 061; 000; 000; 000; 255; 008; 240; 
2025.12.02; 16:46:52; 607; 0CE17074; FF; FF; FF; FF; FF; FF; FF; FF; ; 255; 255; 255; 255; 255; 255; 255; 255; 
2025.12.02; 16:46:52; 607; 18FEC1EE; FF; FF; FF; FF; FF; FF; FF; FF; ; 255; 255; 255; 255; 255; 255; 255; 255; 
2025.12.02; 16:46:52; 607; 18E2FF73; 01; 58; 18; 01; 8C; 00; 82; 01; ; 001; 088; 024; 001; 140; 000; 130; 001; 
